Ticker,QMV($),HQ Location,Sector
FNV,13908724681,ON,Mining
FVL,13057435.53,BC,Mining
FRU,1572118280,AB,Oil & Gas
GH,265837857.3,AB,Diversified Industries
GDI,182142434.1,QC,Diversified Industries
GXE,149485810.5,AB,Oil & Gas
GDS,33281263.6,MB,Diversified Industries
GEN,27443130.4,ON,Life Sciences
GDC,126033022.1,AB,Real Estate
MIC,3000873447,ON,Financial Services
WN,15101710392,ON,Diversified Industries
GBG.A,102828000,ON,
GEI,2693551781,AB,Diversified Industries
GIL,8465790017,QC,Diversified Industries
GVC,74787526.08,BC,Comm & Media
GAF.UN,24652017.54,ON,Closed-End Funds
NAF.UN,101322693,ON,Closed-End Funds
GCS.PR.A,50120000,ON,Closed-End Funds
GII.UN,2151044.72,ON,Closed-End Funds
GDG.UN,111127274.5,AB,Closed-End Funds
GHC.UN,137861968.3,AB,Closed-End Funds
HIG.UN,51378409.08,ON,Closed-End Funds
GRL,82374201.69,ON,Closed-End Funds
GRP.PR.A,45720000,ON,Closed-End Funds
HGI.UN,5163245.1,ON,Closed-End Funds
HTO.UN,28071867.81,ON,Closed-End Funds
GBF,47191196.88,ON,Closed-End Funds
GMX,17671028.28,QC,Mining
GS,490693837.9,ON,Financial Services
GMP,401577315.17,ON,Financial Services
GSY,320393330.4,ON,Diversified Industries
GGD,99398358.98,NS,Mining
G,15135398059,BC,Mining
GQM,91059917.6,BC,Mining
GGA,23113961.13,ON,Mining
GSB.UN,26715361.68,ON,Closed-End Funds
XAU,230415660.8,ON,Financial Services
GDL,76984313.7,QC,Forest Products & Paper
GTE,1500006551,AB,Oil & Gas
GTX,18016246.44,AB,Oil & Gas
GXO,177815859.4,AB,Oil & Gas
GRT.UN,2053795252,ON,Real Estate
GC,1448854934,BC,Diversified Industries
GPR,337736179.1,BC,Mining
GWO,37161732986,MB,Financial Services
GCG.A,697890347.36,ON,Financial Services
GUY,939571831,ON,Mining
GCT,46212420.2,BC,Comm & Media
HR.UN,6456698058,ON,Real Estate
HGN,190019898.8,ON,Technology
HBG,13088378.24,ON,ETP
HMM.A,17026440,ON,Diversified Industries
HPS.A,51031689.28,ON,Diversified Industries
HWD,369705233.7,BC,Diversified Industries
HRT,96952771.58,ON,Mining
HHL,105893669.8,ON,ETP
MDS.UN,51504350.59,ON,Closed-End Funds
HBP,139514382.5,ON,Life Sciences
HRX,567571574.6,QC,Diversified Industries
HWO,252609451.2,AB,Diversified Industries
HLF,618306072.3,NS,Diversified Industries
HHY.UN,10567560.68,ON,Closed-End Funds
HNZ,144531379.5,QC,Diversified Industries
HLC,185148030.8,NS,Real Estate
HCG,1917004463,ON,Financial Services
HNL,273335591.3,AB,Diversified Industries
HAD,23807935.72,ON,ETP
HAL,27172887.75,ON,ETP
HMP,116750476.66,ON,ETP
HAB,527509162.6,ON,ETP
HAJ,26989677.66,ON,ETP
HFR,363652390.09,ON,ETP
HFP,86335712.58,ON,ETP
HSL,48068650.24,ON,ETP
HAZ,269606022.5,ON,ETP
HAF,35962492.23,ON,ETP
HYI,86781065.46,ON,ETP
HPR,864237974.5,ON,ETP
HAU,11165278.92,ON,ETP
HUF,27806021.04,ON,ETP
HMF,7514655,ON,ETP
HBD,3094000,ON,ETP
HBU,11280000,ON,ETP
HZD,2928680,ON,ETP
HZU,25646400,ON,ETP
HQD,9668045,ON,ETP
HQU,19913700,ON,ETP
HOD,43349200,ON,ETP
HOU,308626793.8,ON,ETP
HND,25735750,ON,ETP
HNU,144349501.5,ON,ETP
HSD,58132800,ON,ETP
HSU,30283650,ON,ETP
HIU,22059600,ON,ETP
HVU,43102547.54,ON,ETP
HUV,5849787.5,ON,ETP
HVI,14324400,ON,ETP
HXD,69434640,ON,ETP
HXU,38216800,ON,ETP
HIX,22522500,ON,ETP
HED,4620420,ON,ETP
HEU,18271200,ON,ETP
HFD,12933450,ON,ETP
HFU,15529500,ON,ETP
HGD,40657080,ON,ETP
HGU,100314500,ON,ETP
HTD,6893100,ON,ETP
CAN,7245009.66,ON,ETP
HOG,8864920.59,ON,ETP
HXH,115720028.9,ON,ETP
HII,10252902.13,ON,ETP
HBB,198524666.8,ON,ETP
HCN,5317375,ON,ETP
HUG,6868750,ON,ETP
HUZ,6405750,ON,ETP
HEE,29106612.36,ON,ETP
HEX,67422047.29,ON,ETP
HEF,17085985.78,ON,ETP
HEP,38715503.68,ON,ETP
HEJ,10919633.09,ON,ETP
HEA,32542161.4,ON,ETP
HGC,10100010.1,ON,ETP
